Province,District,LocalLevel,Ward,Population2021,Female,Density,SourceFile
8,Bagmati ,SunapatiGaunpalika,1,2677,1408,179.086365185664,WardPopulationBagmati.xlsx
8,Bagmati ,SunapatiGaunpalika,2,2369,1270,143.70445580263,WardPopulationBagmati.xlsx
8,Bagmati ,SunapatiGaunpalika,3,2499,1304,170.665852242026,WardPopulationBagmati.xlsx
8,Bagmati ,SunapatiGaunpalika,4,3826,2013,212.036983772243,WardPopulationBagmati.xlsx
8,Bagmati ,SunapatiGaunpalika,5,3287,1717,156.733571286715,WardPopulationBagmati.xlsx
1,Bagmati ,UmakundaGaunpalika,1,2763,1362,8.29369422263632,WardPopulationBagmati.xlsx
1,Bagmati ,UmakundaGaunpalika,2,3194,1643,157.504831537142,WardPopulationBagmati.xlsx
1,Bagmati ,UmakundaGaunpalika,3,2263,1162,115.516547069011,WardPopulationBagmati.xlsx
1,Bagmati ,UmakundaGaunpalika,4,2781,1425,123.762233035607,WardPopulationBagmati.xlsx
1,Bagmati ,UmakundaGaunpalika,5,2058,1043,149.871233083412,WardPopulationBagmati.xlsx
1,Bagmati ,UmakundaGaunpalika,6,1403,703,57.7465469890403,WardPopulationBagmati.xlsx
1,Bagmati ,UmakundaGaunpalika,7,2128,1089,115.18359577746,WardPopulationBagmati.xlsx
4,Bagmati ,BaiteshworGaunpalika,1,2307,1214,191.46168840826,WardPopulationBagmati.xlsx
4,Bagmati ,BaiteshworGaunpalika,2,1967,1030,216.870926296851,WardPopulationBagmati.xlsx
4,Bagmati ,BaiteshworGaunpalika,3,2205,1187,215.501212328702,WardPopulationBagmati.xlsx
4,Bagmati ,BaiteshworGaunpalika,4,2033,1073,190.458702875992,WardPopulationBagmati.xlsx
4,Bagmati ,BaiteshworGaunpalika,5,2756,1421,508.207102138932,WardPopulationBagmati.xlsx
4,Bagmati ,BaiteshworGaunpalika,6,2470,1284,228.658649480917,WardPopulationBagmati.xlsx
4,Bagmati ,BaiteshworGaunpalika,7,2151,1116,211.84112093203,WardPopulationBagmati.xlsx
4,Bagmati ,BaiteshworGaunpalika,8,2007,1038,165.921096458192,WardPopulationBagmati.xlsx
9,Bagmati ,BhimeshworMunicipality,1,3363,1768,154.438118946467,WardPopulationBagmati.xlsx
9,Bagmati ,BhimeshworMunicipality,2,3802,2002,319.695513987478,WardPopulationBagmati.xlsx
9,Bagmati ,BhimeshworMunicipality,3,5836,2937,1169.5245469896,WardPopulationBagmati.xlsx
9,Bagmati ,BhimeshworMunicipality,4,1749,964,348.757215924386,WardPopulationBagmati.xlsx
9,Bagmati ,BhimeshworMunicipality,5,3731,2032,229.088842876,WardPopulationBagmati.xlsx
9,Bagmati ,BhimeshworMunicipality,6,7572,3839,1419.67262784178,WardPopulationBagmati.xlsx
9,Bagmati ,BhimeshworMunicipality,7,3142,1644,145.632057963598,WardPopulationBagmati.xlsx
9,Bagmati ,BhimeshworMunicipality,8,2278,1226,127.024147636185,WardPopulationBagmati.xlsx
9,Bagmati ,BhimeshworMunicipality,9,3239,1670,116.905000917302,WardPopulationBagmati.xlsx
2,Bagmati ,BiguGaunpalika,1,2290,1157,5.63614213306912,WardPopulationBagmati.xlsx
2,Bagmati ,BiguGaunpalika,2,1925,981,127.388341141081,WardPopulationBagmati.xlsx
2,Bagmati ,BiguGaunpalika,3,1696,897,140.666725443683,WardPopulationBagmati.xlsx
2,Bagmati ,BiguGaunpalika,4,3208,1684,119.338005892426,WardPopulationBagmati.xlsx
2,Bagmati ,BiguGaunpalika,5,2322,1187,59.8342791461355,WardPopulationBagmati.xlsx
2,Bagmati ,BiguGaunpalika,6,1615,821,24.1521070088786,WardPopulationBagmati.xlsx
2,Bagmati ,BiguGaunpalika,7,1339,706,36.0129253858715,WardPopulationBagmati.xlsx
2,Bagmati ,BiguGaunpalika,8,2095,1087,209.666517147919,WardPopulationBagmati.xlsx
1,Bagmati ,GaurishankarGaunpalika,1,1704,860,78.172058351955,WardPopulationBagmati.xlsx
1,Bagmati ,GaurishankarGaunpalika,2,1495,809,124.029788387759,WardPopulationBagmati.xlsx
1,Bagmati ,GaurishankarGaunpalika,3,1695,879,102.707720912037,WardPopulationBagmati.xlsx
1,Bagmati ,GaurishankarGaunpalika,4,2201,1119,113.399240910324,WardPopulationBagmati.xlsx
1,Bagmati ,GaurishankarGaunpalika,5,2997,1523,63.7353712489677,WardPopulationBagmati.xlsx
1,Bagmati ,GaurishankarGaunpalika,6,1468,763,67.3884050537081,WardPopulationBagmati.xlsx
1,Bagmati ,GaurishankarGaunpalika,7,1506,748,13.2087339832808,WardPopulationBagmati.xlsx
1,Bagmati ,GaurishankarGaunpalika,8,1718,841,16.4505383826489,WardPopulationBagmati.xlsx
1,Bagmati ,GaurishankarGaunpalika,9,1211,600,3.73321866957193,WardPopulationBagmati.xlsx
5,Bagmati ,JiriMunicipality,1,1883,947,17.6393052657982,WardPopulationBagmati.xlsx
5,Bagmati ,JiriMunicipality,2,1515,771,86.4697598983047,WardPopulationBagmati.xlsx
5,Bagmati ,JiriMunicipality,3,1473,774,108.246621518591,WardPopulationBagmati.xlsx
5,Bagmati ,JiriMunicipality,4,1585,831,133.293684419087,WardPopulationBagmati.xlsx
5,Bagmati ,JiriMunicipality,5,2045,1082,301.862929726605,WardPopulationBagmati.xlsx
5,Bagmati ,JiriMunicipality,6,2113,1086,171.261105832879,WardPopulationBagmati.xlsx
5,Bagmati ,JiriMunicipality,7,1800,934,134.369009848203,WardPopulationBagmati.xlsx
5,Bagmati ,JiriMunicipality,8,1798,922,106.196074336307,WardPopulationBagmati.xlsx
5,Bagmati ,JiriMunicipality,9,1897,953,157.309814755876,WardPopulationBagmati.xlsx
3,Bagmati ,KalinchowkGaunpalika,1,2807,1416,73.503147162806,WardPopulationBagmati.xlsx
3,Bagmati ,KalinchowkGaunpalika,2,3113,1625,186.732155487121,WardPopulationBagmati.xlsx
3,Bagmati ,KalinchowkGaunpalika,3,2111,1065,362.422410100443,WardPopulationBagmati.xlsx
3,Bagmati ,KalinchowkGaunpalika,4,1936,995,244.08882059333,WardPopulationBagmati.xlsx
3,Bagmati ,KalinchowkGaunpalika,5,2164,1111,241.394708123791,WardPopulationBagmati.xlsx
3,Bagmati ,KalinchowkGaunpalika,6,2520,1279,103.441727949733,WardPopulationBagmati.xlsx
3,Bagmati ,KalinchowkGaunpalika,7,1875,961,188.951544661242,WardPopulationBagmati.xlsx
3,Bagmati ,KalinchowkGaunpalika,8,1990,1045,241.905378042796,WardPopulationBagmati.xlsx
3,Bagmati ,KalinchowkGaunpalika,9,2581,1331,208.199830536147,WardPopulationBagmati.xlsx
